anomaly,normal,AP_loss
P125:1,N145:581,0.006682522306125612
P149:3,N149:56,0.006659205653220337
P148:2,N140:176,0.006577743698225725
P140:1,N141:1776,0.006567139548249082
P169:1,N150:631,0.006533971713241903
P149:3,N150:90,0.006529632408943318
P152:1,N141:1,0.0065010629720790416
P145:2,N144:47,0.00647596514112634
P125:1,N145:372,0.006433869371552498
P144:2,N141:75,0.006425136980375047
P125:1,N148:607,0.006389931052588193
P142:2,N142:297,0.006375705609988184
P125:1,N150:143,0.006338787187495632
P143:3,N147:717,0.006324560709353457
P137:3,N144:47,0.006282762414598206
P153:30550,N147:49,0.0062682056120555735
P125:1,N147:720,0.006171264777551324
P125:1,N145:346,0.006135738301759117
P140:1,N141:1,0.006134253157505054
P150:2,N146:67,0.006126224902843353
P150:4,N141:2038,0.006089191151942316
P125:1,N143:307,0.006070309998144071
P151:1,N146:67,0.006042912512159526
P169:1,N147:717,0.006034169473273362
P151:1,N150:90,0.0060340971776302425
P144:5,N140:176,0.006010549381337576
P125:1,N150:1172,0.005979216238965421
P144:5,N146:67,0.005969366913609138
P150:2,N150:90,0.005968074213298722
P125:1,N144:585,0.005943914162273999
P125:1,N144:135,0.0058789749996073035
P169:1,N149:503,0.00585807904715657
P125:1,N141:2037,0.00584957140597614
P152:1,N150:90,0.00584827809895873
P150:2,N141:1776,0.005822352733770605
P138:5,N152:190,0.005802032870528104
P141:4,N169:144,0.005767412827643784
P153:30550,N153:73,0.005765526059028667
P147:2,N140:176,0.005758869867382611
P145:1,N153:73,0.005734107857996576
P151:1,N138:85,0.0057333664288805744
P151:1,N141:1776,0.005728812405185711
P169:1,N141:2021,0.0057286877226152
P150:2,N138:85,0.0056940580320230146
P125:1,N151:747,0.005672713484969224
P144:5,N150:90,0.00566909346527363
P125:1,N147:582,0.005667753932793888
P169:1,N148:1395,0.005666080903907419
P145:2,N141:1776,0.0056626723288055476
P143:3,N143:550,0.0056588337443384045
P151:1,N145:69,0.005654258954941457
P125:1,N150:1106,0.005633817419543945
P146:2,N140:176,0.005622348971097703
P125:1,N138:1192,0.005610510130068593
P125:1,N149:1068,0.005602705891282017
P148:2,N152:190,0.005599052961584243
P145:1,N148:46,0.005560971645476209
P151:1,N141:1,0.005553300411119815
P150:4,N142:297,0.0055443488906530124
P142:3,N141:2035,0.005512894494000637
P152:1,N138:85,0.00550777833369466
P138:5,N143:94,0.005483887421945378
P143:3,N141:2021,0.005478354428809887
P143:3,N141:2022,0.00547444938840704
P152:1,N145:69,0.0054728323618796855
P150:2,N145:69,0.005472081977333412
P150:3,N147:49,0.005455834388890762
P125:1,N147:527,0.005455149910328946
P152:1,N149:56,0.005443621380959298
P149:2,N147:49,0.005386526002078218
P142:3,N141:1776,0.005374706950180739
P125:1,N149:1036,0.005340570705845769
P169:1,N141:2038,0.0053320535142711905
P140:1,N138:85,0.005319361739935092
P125:1,N150:1555,0.0053184683408886565
P151:1,N149:56,0.005314084906108639
P141:5,N137:45,0.005310372060033016
P152:1,N146:67,0.005309497568011381
P141:4,N144:594,0.005296879273716994
P138:5,N151:36,0.0052838987774442
P125:1,N147:715,0.005271385758522737
P144:3,N147:49,0.00525128165288405
P125:1,N150:1186,0.005248579018857183
P125:1,N148:128,0.005230903611601127
P153:30551,N138:85,0.005174362036722173
P150:3,N153:73,0.005132563383731458
P149:3,N140:176,0.0051254774591415605
P149:2,N153:73,0.005121088067629056
P150:2,N149:56,0.005089759596893394
P125:1,N143:552,0.005083989396795093
P169:1,N146:519,0.005067220199595196
P169:1,N151:746,0.005065383350773896
P146:2,N143:94,0.005047883692956438
P140:1,N146:67,0.005031661763837795
P140:1,N145:69,0.0050295464702871445
P153:30551,N149:56,0.005011534447575946
P148:2,N151:36,0.00499617034520777
P153:30550,N148:46,0.004985531997634141
P141:4,N147:717,0.004983076006413607
P125:1,N125:585,0.004967131487868717
P137:3,N150:90,0.0049484193816688015
P140:1,N149:56,0.004940064425135697
P153:30551,N145:69,0.004939041227857829
P146:2,N152:190,0.004931509445759872
P125:1,N139:868,0.0049269521700126976
P169:1,N143:550,0.004926613362547506
P150:4,N138:1045,0.0049181724037123675
P137:3,N146:67,0.0049023277909309455
P138:5,N141:2035,0.004895464726553085
P125:1,N144:582,0.0048913960064044465
