threshold,tp,fp,precision,recall
-0.2294921875,84791,272327,0.23743132522023533,0.9690510748694271
-0.23046875,84792,272459,0.23734573171243747,0.9690625035714694
-0.2314453125,84792,272610,0.23724545469807107,0.9690625035714694
-0.232421875,84793,272751,0.237154028595082,0.9690739322735117
-0.2333984375,84794,272913,0.23704875778220721,0.969085360975554
-0.234375,84798,273028,0.23698110254704802,0.9691310757837233
-0.2353515625,84800,273176,0.23688738909871052,0.9691539331878078
-0.236328125,84800,273318,0.2367934591391664,0.9691539331878078
-0.2373046875,84802,273470,0.2366972579492676,0.9691767905918924
-0.23828125,84805,273595,0.23662109375,0.9692110766980194
-0.2392578125,84807,273726,0.23653889600120492,0.969233934102104
-0.240234375,84808,273866,0.2364486971455974,0.9692453628041463
-0.2412109375,84809,274002,0.23636120408794603,0.9692567915061886
-0.2421875,84809,274140,0.2362703336685713,0.9692567915061886
-0.2431640625,84809,274270,0.23618479498940345,0.9692567915061886
-0.244140625,84810,274417,0.23609027161098692,0.969268220208231
-0.2451171875,84810,274529,0.2360166861932604,0.969268220208231
-0.24609375,84814,274664,0.23593655244549042,0.9693139350164002
-0.2470703125,84815,274800,0.23584945010636374,0.9693253637184425
-0.248046875,84817,274932,0.23576715988091698,0.9693482211225272
-0.2490234375,84817,275083,0.23566824117810503,0.9693482211225272
-0.25,84817,275281,0.23553865892062717,0.9693482211225272
-0.251953125,84819,275527,0.23538210497688333,0.9693710785266118
-0.25390625,84823,275822,0.2351980479418819,0.9694167933347809
-0.255859375,84823,276093,0.2350214454332864,0.9694167933347809
-0.2578125,84824,276374,0.23484072447798715,0.9694282220368233
-0.259765625,84827,276644,0.2346716610737791,0.9694625081429502
-0.26171875,84829,276931,0.23448971693940734,0.9694853655470348
-0.263671875,84834,277199,0.23432670502412764,0.9695425090572464
-0.265625,84834,277471,0.23415078455997018,0.9695425090572464
-0.267578125,84839,277768,0.2339695593300736,0.969599652567458
-0.26953125,84839,278048,0.23378903074510798,0.969599652567458
-0.271484375,84840,278365,0.23358709268870198,0.9696110812695002
-0.2734375,84842,278653,0.23340623667450722,0.9696339386735848
-0.275390625,84843,278941,0.23322356123413893,0.9696453673756271
-0.27734375,84849,279212,0.23306259115917388,0.969713939587881
-0.279296875,84851,279471,0.232901114947766,0.9697367969919656
-0.28125,84854,279715,0.23275155046095528,0.9697710830980926
