anomaly,normal,AP_loss
P169:1,N137:184,0.0021135341697155565
P144:3,N140:176,0.0021109765147861795
P150:3,N146:67,0.0021005231786583155
P125:1,N148:710,0.0020967997922405014
P142:2,N141:1776,0.002073744872286215
P169:1,N147:322,0.002072976602827373
P144:2,N147:49,0.0020705541418687594
P151:1,N139:514,0.0020682210410570266
P142:3,N147:389,0.002064753539915865
P149:2,N152:190,0.0020629465799615176
P125:1,N145:345,0.002056912472862794
P145:1,N137:45,0.0020516785695314436
P143:3,N125:21,0.0020466621610915007
P137:3,N137:45,0.002040170626815571
P141:4,N141:2081,0.0020347091194983205
P125:1,N141:1313,0.002032583555710148
P146:2,N141:2038,0.0020296069474622894
P142:3,N141:1776,0.0020237077501079528
P125:1,N139:1027,0.002003720921131804
P144:3,N151:36,0.0019974287727437543
P125:1,N150:1156,0.001992039600522298
P125:1,N149:1038,0.0019867868099856354
P125:1,N144:144,0.001980800213766413
P125:1,N141:1950,0.001965069251054845
P125:1,N142:985,0.001963834400348407
P147:2,N142:297,0.0019637107010365127
P125:1,N150:1184,0.001959297135476215
P152:1,N143:94,0.0019581237009266145
P139:7,N169:144,0.001955143474740911
P125:1,N141:1085,0.0019504764419399326
P153:30550,N141:2035,0.0019293832963339591
P125:1,N143:299,0.0019284349248091244
P125:1,N152:367,0.001926805678340497
P125:1,N169:3516,0.0019248904568618481
P149:3,N141:2038,0.0019144661975170514
P138:5,N141:2038,0.0019132495028383466
P142:2,N141:2038,0.0019032667955067844
P153:30550,N151:36,0.0018825490542121127
P150:3,N140:176,0.0018622109122022584
P169:1,N125:1,0.001852046888383635
P169:1,N149:1040,0.0018457337465746066
P125:1,N150:47,0.0018406659840312775
P149:2,N139:514,0.001836902368623972
P125:1,N144:299,0.0018346404197206612
P153:30550,N140:176,0.0018340290070045426
P143:3,N150:631,0.0018246385620876275
P125:1,N137:314,0.001822974399515845
P143:3,N149:1040,0.0018126291364562153
P150:3,N141:2035,0.001811072013885953
P144:5,N142:297,0.0018105725953534285
P125:1,N169:542,0.00180920025497966
P169:1,N141:2081,0.001806072039952875
P142:3,N148:311,0.001803614310795501
P169:1,N144:595,0.0017980312708214196
P151:1,N137:45,0.00179442844874767
P142:3,N139:665,0.0017938534273191612
P140:1,N141:2038,0.0017922795389117637
P125:1,N149:213,0.0017878635428010758
P145:2,N141:2038,0.0017837146680750927
P125:1,N137:765,0.001776619230898273
P141:5,N169:144,0.0017699870241939695
P125:1,N140:783,0.001759162846075421
P125:1,N145:161,0.0017586570970107537
P150:2,N142:297,0.0017463919867366155
P144:3,N152:190,0.0017336775343711718
P169:1,N141:267,0.0017235076464824598
P144:2,N138:85,0.0017209556982870273
P169:1,N125:1250,0.0017190723941014686
P125:1,N147:645,0.0017105390262970354
P150:3,N151:36,0.0017031578118799032
P125:1,N153:72,0.0017023974366955244
P125:1,N143:127,0.0016998808016499283
P125:1,N145:575,0.0016983851219141157
P144:2,N144:47,0.001697107660910187
P125:1,N146:519,0.0016927018303157743
P144:2,N150:90,0.0016692139260635855
