update,stu_fraction,source_switches,recent_stu,bn_shift,gradient_norm,clipped,bce,normal_bce,anomaly_bce,lr,ranking_weight
104,0.25,4,0.15809509354544243,0.005949866046772336,0.37479180097579956,False,0.04660420071939216,0.08203565526541473,0.01117274617336959,0.00019984699833672977,0.0
105,0.125,2,0.15539130928314274,0.005382346088339693,0.7648146152496338,False,0.09034829638054799,0.12326706699587606,0.05742952576521993,0.00019983500597728216,0.0
106,0.0,0,0.14338650620122795,0.0059848870941894925,0.6034114360809326,False,0.06266994680557383,0.11790225995324992,0.007437633657897736,0.00019982256158833158,0.0
107,0.25,3,0.15181903834873917,0.00654359352429582,0.37074702978134155,False,0.04490990771410278,0.08109949775380847,0.008720317674397097,0.00019980966522679342,0.0
108,0.25,3,0.1591138556285179,0.0062142209281597005,0.29806840419769287,False,0.030115378215069186,0.05373819804604624,0.006492558384092137,0.00019979631695165022,0.0
109,0.375,2,0.17593141619118494,0.008219044917433142,0.20287887752056122,False,0.03191712410197392,0.036361246331690716,0.027473001872257125,0.00019978251682395128,0.0
110,0.25,4,0.18156043435267608,0.00732270708032901,3.617473840713501,True,0.07442852671971707,0.02747578543961167,0.12138126799982248,0.0001997682649068126,0.0
111,0.25,2,0.18684287761696056,0.006222823262652149,0.4190628230571747,False,0.025863143513308293,0.014828038533828046,0.03689824849278854,0.0001997535612654164,0.0
112,0.25,4,0.1912388279907655,0.0059135008412047755,0.70689857006073,False,0.032032216228842184,0.013566988022815165,0.0504974444348692,0.00019973840596701093,0.0
113,0.125,1,0.18646461389709246,0.005294593757382117,2.0903735160827637,True,0.03995585321386954,0.01470128845994983,0.06521041796778924,0.0001997227990809101,0.0
114,0.125,3,0.18156913367109268,0.005747703795747954,0.39284974336624146,False,0.021181709979103416,0.023708679321246984,0.018654740636959845,0.00019970674067849316,0.0
115,0.25,2,0.18627740973995455,0.005225472003629058,12.253317832946777,True,0.9201906989158836,0.014094729213647033,1.82628666861812,0.0001996902308332045,0.0
116,0.125,2,0.1817864915293188,0.0055557891032184305,2.802790880203247,True,0.2860197747160336,0.01938397268540385,0.5526555767466634,0.0001996732696205532,0.0
117,0.375,1,0.19744352057734496,0.005448530217624925,1.2621556520462036,True,0.04543730760539885,0.02970311188526115,0.06117150332553656,0.00019965585711811257,0.0
118,0.125,3,0.19208996106191495,0.004889727238602856,0.3026319146156311,False,0.024562983734878887,0.04411684551201342,0.005009121957744354,0.00019963799340552013,0.0
119,0.375,5,0.20637164590181772,0.0057060676858954095,0.4546338617801666,False,0.04399116916308493,0.0826466580230875,0.005335680303082358,0.00019961967856447688,0.0
120,0.375,5,0.21915889531432964,0.005139696621982848,5.385573387145996,True,0.11666527605032354,0.05923181770882108,0.174098734391826,0.0001996009126787472,0.0
121,0.125,2,0.2117376083869816,0.004759191651942565,0.3351585566997528,False,0.030474085007737926,0.0559231298791829,0.005025040136292948,0.00019958169583415828,0.0
122,0.25,3,0.215180754749944,0.004053837823400345,0.7734183669090271,False,0.05891025363982464,0.08670823535060303,0.031112271929046257,0.00019956202811859984,0.0
123,0.25,1,0.21729235476158618,0.004301739586209058,0.3081550896167755,False,0.03429199757601166,0.062382095865601804,0.0062018992864215135,0.00019954190962202367,0.0
124,0.125,2,0.21040536749600303,0.004079222731289468,0.3814975321292877,False,0.04028792996981546,0.060343310106824165,0.02023254983280675,0.0001995213404364433,0.0
125,0.0,0,0.1941504365360935,0.004871066570636935,0.38531696796417236,False,0.030846550546331238,0.047152413087851834,0.014540688004810643,0.0001995003206559335,0.0
126,0.125,2,0.1889522852345449,0.004509630742554187,0.1330179125070572,False,0.018891855632418172,0.034455942443613115,0.003327768821223229,0.0001994788503766298,0.0
127,0.125,2,0.18415571870020736,0.004334160490047079,0.12803205847740173,False,0.010239423866398928,0.012805513043992175,0.0076733346888056796,0.00019945692969672817,0.0
128,0.375,3,0.19933861287817686,0.005423148807042518,7.574827194213867,True,0.24990972382075374,0.01311028555419181,0.4867091620873157,0.00019943455871648463,0.0
129,0.0,1,0.18393864742795876,0.0053022481639812095,0.5614820718765259,False,0.025339116692373757,0.01854188409464683,0.03213634929010069,0.00019941173753821443,0.0
130,0.125,2,0.17914321250840673,0.004224594537920416,12.987948417663574,True,0.1544823654739289,0.011249529657304006,0.2977152012905538,0.00019938846626629212,0.0
131,0.375,3,0.19403890385798558,0.005548189659443991,2.049675703048706,True,0.1075419354533667,0.009915326944553793,0.2051685439621796,0.00019936474500715053,0.0
132,0.0,1,0.17904836904756546,0.004767139923848886,0.7073221802711487,False,0.026804565134226528,0.03296664229769492,0.020642487970758135,0.00019934057386928073,0.0
133,0.125,2,0.17491892258461322,0.004039835144125038,2.5731687545776367,True,0.08168280929138066,0.03596442607702584,0.1274011925057355,0.00019931595296323126,0.0
134,0.25,2,0.18110650776999995,0.0036817590470518157,4.398981094360352,True,0.08776355126218495,0.02245564172506886,0.15307146079930103,0.00019929088240160778,0.0
135,0.125,2,0.17691606917113634,0.004624783376040217,1.0319558382034302,True,0.03344153127229664,0.048282605729955776,0.01860045681463751,0.00019926536229907235,0.0
136,0.25,4,0.18246901766577886,0.005234047974809221,0.3145368993282318,False,0.03512429274732777,0.06656782996398466,0.0036807555306708722,0.00019923939277234317,0.0
