frames,layer,pairs,relative_rms_difference,median_cosine_similarity,rms_feature_a,rms_feature_b,median_vector_difference
145-147,enc3.pool,205,0.33807151292805215,0.9705363572374093,1.1166219100353252,1.0448203055873404,5.001715751086131
145-147,enc3.block0.attn_input,205,0.4347460666123488,0.9483291879460358,0.8056614874477266,0.7985426961879293,4.107827260369506
145-147,enc3.block0.attn_output,205,0.545682505515518,0.8605094004721718,0.5310985964605526,0.5124701999343857,4.517732997216709
145-147,enc3.block0,205,0.37337817180153465,0.9620843517448161,1.5333542722773932,1.5577961828415887,7.04402050567019
145-147,enc3.block1.attn_input,205,0.3555604170342516,0.9671647766515561,0.8300370251484054,0.8269228241289992,3.3683726968194434
145-147,enc3.block1.attn_output,205,0.6995093685316204,0.8110808170216128,0.475049383736665,0.40460707690130127,4.3508141016628015
145-147,enc3.block1,205,0.3683579259888494,0.9571271998946106,1.4501323783193854,1.408018663628102,6.734979919069438
145-147,enc3.block2.attn_input,205,0.31824093733741626,0.9677767756622614,0.8839379696237121,0.8817718755388102,3.5642527816749943
145-147,enc3.block2.attn_output,205,0.6592734847268298,0.8213076399592512,0.6052044229522832,0.6258103375732224,5.8140989589624965
145-147,enc3.block2,205,0.3706787121775482,0.9502469155515334,1.6202026273054733,1.6547873458408968,8.240523098523562
145-147,enc3.block3.attn_input,205,0.3135318320868705,0.9641169429207915,0.8879478104045272,0.8888441578596857,3.7796503388603933
145-147,enc3.block3.attn_output,205,0.5496418496927938,0.8601946334770786,0.8533079591564626,0.8287887835160539,7.070342110974957
145-147,enc3.block3,205,0.35389018359378854,0.9462716862944521,1.837174994169799,1.8623163225938584,9.548902326959926
145-147,enc3.block4.attn_input,205,0.30124136171040833,0.960859778338128,0.9240494029111539,0.9233139744980364,4.104605790627288
145-147,enc3.block4.attn_output,205,0.31058530060853734,0.961424048841385,1.3250651879386044,1.287469254789421,5.772946238910222
145-147,enc3.block4,205,0.26874514708794695,0.9696883530702236,2.355610295760905,2.3198806158163623,9.129932500689845
145-147,enc3.block5.attn_input,205,0.23471062064303982,0.9767804774001875,0.9109160979670766,0.9126112537875991,3.1248194810923913
145-147,enc3.block5.attn_output,205,0.30502500085664497,0.9550604694499759,1.5944021579631273,1.4738756124115864,7.528876781282407
145-147,enc3.block5,205,0.253130630726296,0.9704295882544662,2.33833340995836,2.213578359726752,8.997114608349834
145-147,enc3,205,0.253130630726296,0.9704295882544662,2.33833340995836,2.213578359726752,8.997114608349834
145-147,enc4.pool,205,0.23451218426256518,0.9776217924565914,0.6095894577642538,0.5882266908540968,2.9470691886163176
145-147,enc4.block0.attn_input,205,0.2242303018130183,0.9785000805389436,0.747353506950628,0.7479879086451472,3.4885404687802475
145-147,enc4.block0.attn_output,205,0.2939787597140166,0.9660868195767576,4.292860415512951,3.647922018359988,27.84261261338062
145-147,enc4.block0,205,0.24415898622004406,0.9801025402977276,5.7937668608069535,4.9763942833288,31.363300017517364
145-147,enc4.block1.attn_input,205,0.15601171851951823,0.9867160654256386,0.7754585284004333,0.769683218406731,2.834180753838252
145-147,enc4.block1.attn_output,205,0.15176506717304009,0.9891553461872985,4.19146666777127,4.416595531278581,15.818356985014738
145-147,enc4.block1,205,0.10839245246867985,0.99382523922205,6.358271542757245,6.483119450627448,16.609525920456626
145-147,enc4,205,0.10839245246867985,0.99382523922205,6.358271542757245,6.483119450627448,16.609525920456626
145-147,dec3,205,0.19935344340451516,0.9832047541612973,0.6992685589170036,0.6779701055152998,2.012702442139904
145-147,dec2,205,0.2733697203324455,0.9693214523899698,0.6231863473348982,0.6151553094036881,1.9304128202628796
145-147,dec1,205,0.25873921958634843,0.9730462623282761,0.7047888870225919,0.6729508484539997,1.3533523483107166
145-147,dec0,205,0.27874519486487476,0.9789778675761349,0.9396130966634687,0.807219969086463,1.9940415721133475
145-147,context,205,0.3778552540582298,0.9913941869802971,1.6368083978762593,1.256620402368596,3.5104142643363057
145-147,detail,205,0.4279851247305826,0.9942618676827006,2.635877893931887,2.6521913512576556,2.579562760918006
145-147,sampling,205,0.6056879817580045,0.980066675040711,0.5297740219529392,0.5204000308879206,0.7786267322357807
