geometry,stu_worlds,scenes,logs,placements,observed_scenes,observed_logs,observed_placements
b41020986809d30bcbe7d098d763a5a8a99f56a8a325952e9680a55a49aca935,1,11,11,11,11,11,11
b411422ce83c26f4f37dcdf814a917172c04151bd86a3aa42134c8f35c30a496,1,11,11,11,11,11,11
b5bfcb56b65cbf2c44f1a1e50173992e39803d22519dc5b05fd9ff5362359ef9,1,10,10,10,10,10,10
b77ade2ba2431de0374d251ed15be17e8d2d705dcdf5c3ab18ba453ea186b588,1,10,10,10,10,10,10
b9a883f4a78929127febf6732aac7fafe899c17497f17ce46554a801a1af1297,1,10,10,10,10,10,10
bb7bf59d678bb3cff3a156ab4ae46b4b91db3ff3acd026c60119ee2c0f014e8b,1,10,10,10,10,10,10
bcfddb89233d59f1ea1c88a9602b8b69fb890979a3ab4b2b8c1d1d6c2bc9645d,1,10,10,10,10,10,10
be6e85807efddc0cf10289862dc0f11e23ac0bcd5999b52cfef855c3de909e9a,1,10,10,10,10,10,10
bfb3858433e6170f7f1c3d66e80f936fb05506ee3d0a9978b481aabbf563a2fd,1,10,10,10,10,10,10
c08a7917897f7efb56ee2089914e2c90c03ea92844be9b40fdfdfb7c88ee44b3,1,0,0,0,0,0,0
c1ba56faaa521c7556ba9cbf9a87b7a9a44d03200824e572cc4f6939e4c1cfee,1,10,10,10,10,10,10
c219fe85f4e5a8a02410735d790eb3b8194d53c872cd9b6e819e472f01df13a9,1,9,9,9,9,9,9
c242d17c36d7c40ed563a50f37d6fc1e67d1051184d8f45b66b374ec2d17542d,1,10,10,10,10,10,10
c269383f3a96fec455c6a7b8a6d2468713e78e7deadc9b4971e1219235fed77d,1,9,9,9,9,9,9
c37e695605ce7b662b6cd50dc87ad4538d7a317b8ffcf595ca4f3b8c267337a9,1,10,10,10,10,10,10
c6465aa0786d82a04512fb0e8cc348b5b7c3dde045b0accf5793b8f62c2d2826,1,10,10,10,10,10,10
c6e03cd327c83bae3e796543db76e43cd8b9a566f1ce0848cf51bcebc8276870,1,10,10,10,10,10,10
c79451af524442e37df52d9704ba1392ab5799e71361d57de5b470f2de2eb541,1,10,10,10,10,10,10
c849bae4ea6038eeaf624c18482ce8570047eda214ab94d113990aff8e1e3339,1,10,10,10,10,10,10
c9274e2a0760df0b48c2f68293490952b7297964d37e1dc5bfd1c7f02552695b,1,10,10,10,10,10,10
cc66bdcd9b27fe3643bc83ec85db7e05bfc44be9f004dabe816c1eb3aacd75c8,1,10,10,10,10,10,10
cce2ea2d951898a284c12422065a17822b4d9c6ed5d4253565397733207f1dfb,1,10,10,10,10,10,10
cf52d78a8f494179d8c6fbdff9742ab140ee4e7998463de0564c9011a2f63205,1,10,10,10,10,10,10
